Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits
11/10/2025,BLOX,FBTC  251114C00093000,FBTC  251114C00093000,FBTC US 11/14/25 C93,-3142,1.0,-314200.0,-0.15%,206503570.0,9100000,364.0
11/10/2025,BLOX,NVDA  251114P00192500,NVDA  251114P00192500,NVDA US 11/14/25 P192.5,-485,7.1,-344350.0,-0.17%,206503570.0,9100000,364.0
11/10/2025,BLOX,CRCL  251114P00117000,CRCL  251114P00117000,CRCL US 11/14/25 P117,-239,17.925,-428407.5,-0.21%,206503570.0,9100000,364.0
11/10/2025,BLOX,MARA  251114P00017500,MARA  251114P00017500,MARA US 11/14/25 P17.5,-2312,1.94,-448528.0,-0.22%,206503570.0,9100000,364.0
11/10/2025,BLOX,HOOD  251114P00132000,HOOD  251114P00132000,HOOD US 11/14/25 P132,-939,5.6,-525840.0,-0.25%,206503570.0,9100000,364.0
11/10/2025,BLOX,CIFR  251114P00021500,CIFR  251114P00021500,CIPHER M PUT OPT 11/25 21.500,-3312,1.945,-644184.0,-0.31%,206503570.0,9100000,364.0
11/10/2025,BLOX,HUT   251114P00044500,HUT   251114P00044500,HUT US 11/14/25 P44.5,-2541,2.855,-725455.5,-0.35%,206503570.0,9100000,364.0
11/10/2025,BLOX,GLXY  251114P00032000,GLXY  251114P00032000,GLXY US 11/14/25 P32,-3839,2.025,-777397.5,-0.38%,206503570.0,9100000,364.0
11/10/2025,BLOX,RIOT  251114P00018000,RIOT  251114P00018000,RIOT US 11/14/25 P18,-5931,1.49,-883719.0,-0.43%,206503570.0,9100000,364.0
11/10/2025,BLOX,IREN  251114P00065000,IREN  251114P00065000,IREN LIM PUT OPT 11/25 65,-1912,5.65,-1080280.0,-0.52%,206503570.0,9100000,364.0
11/10/2025,BLOX,CIFR  251114P00026000,CIFR  251114P00026000,CIFR US 11/14/25 P26,-2562,5.425,-1389885.0,-0.67%,206503570.0,9100000,364.0
